take_uid,take_name,kind,code,step_index,detail
2059dde7-ecdd-4bfe-90ca-5f482b44fe47,indiana_cooking_10_4,plausibility,PORTABLE_NOT_HELD,69,portable item used but not held (missing GET or put back immediately before): 'tissue_paper'
2059dde7-ecdd-4bfe-90ca-5f482b44fe47,indiana_cooking_10_4,plausibility,PORTABLE_NOT_HELD,69,portable item used but not held (missing GET or put back immediately before): 'frying_pan'
2059dde7-ecdd-4bfe-90ca-5f482b44fe47,indiana_cooking_10_4,plausibility,PORTABLE_NOT_HELD,98,portable item used but not held (missing GET or put back immediately before): 'spatula'
2059dde7-ecdd-4bfe-90ca-5f482b44fe47,indiana_cooking_10_4,plausibility,PUT_BACK_BEFORE_USE,98,object 'spatula' appears required here but is not held (may need to move nearby GET earlier)
2059dde7-ecdd-4bfe-90ca-5f482b44fe47,indiana_cooking_10_4,plausibility,PORTABLE_NOT_HELD,101,portable item used but not held (missing GET or put back immediately before): 'spatula'
2059dde7-ecdd-4bfe-90ca-5f482b44fe47,indiana_cooking_10_4,plausibility,PUT_BACK_BEFORE_USE,101,object 'spatula' appears required here but is not held (may need to move nearby GET earlier)
2059dde7-ecdd-4bfe-90ca-5f482b44fe47,indiana_cooking_10_4,plausibility,PORTABLE_NOT_HELD,103,portable item used but not held (missing GET or put back immediately before): 'spatula'
2059dde7-ecdd-4bfe-90ca-5f482b44fe47,indiana_cooking_10_4,plausibility,PUT_BACK_BEFORE_USE,103,object 'spatula' appears required here but is not held (may need to move nearby GET earlier)
2059dde7-ecdd-4bfe-90ca-5f482b44fe47,indiana_cooking_10_4,plausibility,PORTABLE_NOT_HELD,105,portable item used but not held (missing GET or put back immediately before): 'spatula'
2059dde7-ecdd-4bfe-90ca-5f482b44fe47,indiana_cooking_10_4,plausibility,PUT_BACK_BEFORE_USE,105,object 'spatula' appears required here but is not held (may need to move nearby GET earlier)
2059dde7-ecdd-4bfe-90ca-5f482b44fe47,indiana_cooking_10_4,plausibility,PORTABLE_NOT_HELD,107,portable item used but not held (missing GET or put back immediately before): 'spatula'
2059dde7-ecdd-4bfe-90ca-5f482b44fe47,indiana_cooking_10_4,plausibility,PUT_BACK_BEFORE_USE,107,object 'spatula' appears required here but is not held (may need to move nearby GET earlier)
2059dde7-ecdd-4bfe-90ca-5f482b44fe47,indiana_cooking_10_4,plausibility,PORTABLE_NOT_HELD,109,portable item used but not held (missing GET or put back immediately before): 'spatula'
